account.basicInfo.status|Account Status
account.basicInfo.title|Basic Information
account.basicInfo.userId|User ID
account.basicInfo.username|Username
account.changePassword.btn|Change Password
account.changePassword.confirm|Confirm New Password
account.changePassword.confirmPlaceholder|Enter new password again
account.changePassword.current|Current Password
account.changePassword.currentPlaceholder|Enter current password
account.changePassword.new|New Password
account.changePassword.newPlaceholder|Enter new password (at least 6 characters)
account.changePassword.title|Change Password
account.dangerZone.logout.desc|Logout and return to login page
account.dangerZone.logout.title|Logout
account.dangerZone.title|Danger Zone
account.subtitle|Manage your account information and security settings
account.title|Account Settings
chapterView.action.back|Back
chapterView.action.next|Next
chapterView.action.prev|Previous
chapterView.empty.selectChapter|Please select a chapter to view
chapterView.empty.title|No Content
chapterView.sidebar.chapters|📚 Chapter List
chapterView.sidebar.words|words
chapterView.title|Chapter Content
common.cancel|Cancel
common.confirm|Confirm
common.create|Create
common.delete|Delete
common.edit|Edit
common.save|Save
contact.card.email.desc|Send to support@example.com<br>We reply within 24 hours
contact.card.email.title|Email
contact.card.online.desc|Weekdays 9:00-18:00<br>Real-time support
contact.card.online.title|Live Chat
contact.card.wechat.desc|Follow our account<br>for updates and tutorials
contact.card.wechat.title|WeChat
contact.form.desc|Fill out the form and we\
contact.form.email|Email Address
contact.form.email.placeholder|Enter your email
contact.form.message|Message
contact.form.message.placeholder|Describe your question or suggestion...
contact.form.name|Your Name
contact.form.name.placeholder|Enter your name
contact.form.subject|Subject
contact.form.subject.placeholder|Enter message subject
contact.form.submit|Send Message
contact.form.success|Thank you for your message! We\
contact.form.title|Send Message
contact.social.title|Follow Us
contact.subtitle|Have questions or suggestions? We\
contact.title|Contact Us
coverGenerator.authorName|作者名称
coverGenerator.authorName.placeholder|请输入作者名称
coverGenerator.basicInfo|基础信息
coverGenerator.color.blue|蓝紫
coverGenerator.color.dark|暗色
coverGenerator.color.gold|暖金
coverGenerator.color.green|青蓝
coverGenerator.color.purple|青绿
coverGenerator.color.red|红粉
coverGenerator.colorScheme|配色方案
coverGenerator.coverStyle|封面风格
coverGenerator.customPrompt|自定义提示词
coverGenerator.customPrompt.placeholder|描述封面场景、人物、风格...
coverGenerator.deselectAll|取消
coverGenerator.download|下载
coverGenerator.generate|生成封面
coverGenerator.generating|正在生成...
coverGenerator.genre.campus|校园青春
coverGenerator.genre.fantasy|玄幻修仙
coverGenerator.genre.game|游戏竞技
coverGenerator.genre.historical|历史架空
coverGenerator.genre.military|军事战争
coverGenerator.genre.mystery|悬疑推理
coverGenerator.genre.scifi|科幻未来
coverGenerator.genre.urban|都市言情
coverGenerator.genre.workplace|职场商战
coverGenerator.genre.wuxia|武侠江湖
coverGenerator.help.gotIt|知道了
coverGenerator.help.prompt1|描述主要场景：如"古代宫殿"、"现代都市"、"星空飞船"
coverGenerator.help.prompt2|指定人物特征：如"白衣男子"、"红衣女子"、"将军形象"
coverGenerator.help.prompt3|说明色调氛围：如"温暖色调"、"冷色调"、"神秘氛围"
